model,RSE,RAE
TCN only,0.920731246471405,0.5949887633323669
TCN+GCN predefined bi,0.956825852394104,0.6268290877342224
TCN+GCN predefined uni,1.0020211935043335,0.6624636650085449
TCN+GCN adaptive,0.9814281463623047,0.6402496695518494
TCN+external,0.9848020076751709,0.6484838724136353
TCN+GCN bi+external,1.0006381273269653,0.6524847745895386
TCN+GCN uni+external,1.0038517713546753,0.6636374592781067
TCN+GCN adaptive+external,0.9935068488121033,0.6561841368675232
LinearRegression (proxy VAR/LSTM),0.015012988820672035,0.015972735360264778
Mean predictor (naive),0.16223034262657166,0.11326172947883606
