threat,pat,gap_2023,gap_2024,gap_2025,category,gap_magnitude_2025
Data Poisoning,BN,-0.051637731855309794,-0.048250304212512356,-0.10563807630410871,ONG,0.10563807630410871
Data Poisoning,TAI,-0.05995743869166043,-0.0541795994450644,-0.10543347642166134,ONG,0.10543347642166134
Data Poisoning,AdT,-0.058980550576196424,-0.049271060248777844,-0.10309596391030733,ONG,0.10309596391030733
Cryptojacking,PT,-0.044495597217299294,-0.043973723810420924,-0.10240666047720975,ONG,0.10240666047720975
Data Poisoning,OD,-0.05214922131091451,-0.04620588934757303,-0.09693118261055239,ONG,0.09693118261055239
Cryptojacking,TA,-0.045476954830853976,-0.04041688357056808,-0.09631772809522388,ONG,0.09631772809522388
Cryptojacking,BT,-0.046305390930852584,-0.0411366924477724,-0.09594176855154357,ONG,0.09594176855154357
Data Poisoning,DS,-0.0468775466627965,-0.040790331100681615,-0.09409898685004477,ONG,0.09409898685004477
Dropper,IDS/IPS,-0.061650801767467976,-0.05927762997163371,-0.09172377974569466,ONG,0.09172377974569466
Data Poisoning,AD,-0.039720723512091556,-0.03381233617688362,-0.09157130308621968,ONG,0.09157130308621968
Zero-day,VM,-0.021078783730030137,-0.014975584430491712,-0.08853859865592244,ONG,0.08853859865592244
Zero-day,VPN,-0.035939014531999,-0.03476634457987824,-0.08418852211435157,ONG,0.08418852211435157
Data Poisoning,DP,-0.041639307483653194,-0.0332660143730208,-0.08174603041844046,ONG,0.08174603041844046
Zero-day,AD,-0.003904147660186874,-0.0027669351013898855,-0.07554273098308717,ONG,0.07554273098308717
Zero-day,DT,-0.013810705972044082,-0.010662401422685014,-0.0746897298846059,ONG,0.0746897298846059
DNS Spoofing,PT,-0.034180227865370595,-0.016270788408428816,-0.0673946668118464,ONG,0.0673946668118464
Data Poisoning,NLP/LLM,-0.028561488269535095,-0.025864801726441195,-0.060773239417586604,ONG,0.060773239417586604
DNS Spoofing,CR,-0.030746379174795214,-0.012857753361979076,-0.060343587443109116,ONG,0.060343587443109116
DNS Spoofing,RA,-0.02931853937899201,-0.010306585205803418,-0.05951974393524983,ONG,0.05951974393524983
Deepfake,DW,-0.030227351970303313,-0.020902093406270906,-0.05502341178685163,ONG,0.05502341178685163
Deepfake,LD,-0.030259190734404074,-0.022472032932776276,-0.05405455831705438,ONG,0.05405455831705438
DNS Spoofing,BC,-0.0303052718093471,-0.013152358345058226,-0.05246315130847375,ONG,0.05246315130847375
Deepfake,BO,-0.03311195882278558,-0.025598450457317973,-0.05241474249927252,ONG,0.05241474249927252
Malware,IDS/IPS,0.049167288203811395,0.05271507749682272,0.04861623142915287,ONG,0.04861623142915287
Cryptojacking,ML/DL,-0.037744951043370424,-0.03230126478805186,-0.04793103579534172,ONG,0.04793103579534172
Deepfake,AD,-0.014759969464350228,-0.007157585930782584,-0.043567846247358245,ONG,0.043567846247358245
Data Poisoning,ML/DL,-0.038219645449782236,-0.028763992541129452,-0.04210802852978704,ONG,0.04210802852978704
Account Hijacking,MFA,-0.03218719645299319,-0.0313356876490799,-0.041162015542371644,ONG,0.041162015542371644
Insider Threat,UBA,0.043325720110654636,0.027819277629002548,0.03810009781101734,ONG,0.03810009781101734
Account Hijacking,LP,-0.02220344681883102,-0.011865652334406443,-0.03764858180320634,ONG,0.03764858180320634
Ransomware,IDS/IPS,-0.003419384861095729,-0.0029186451930105586,-0.03725351779876245,ONG,0.03725351779876245
APT,UBA,0.03844300038273487,0.023967665716409625,0.03271265098860682,ONG,0.03271265098860682
Zero-day,IDS/IPS,0.0038423646445934954,0.013959604203040515,-0.0323654204775251,ONG,0.0323654204775251
Trojan,FV,-0.020972860200706028,-0.014780610932201168,-0.03196837681048676,ONG,0.03196837681048676
Account Hijacking,PT,-0.017581753420559332,-0.01042442397625302,-0.03179689828016665,ONG,0.03179689828016665
MITM,SSL/TLS,0.035690288423689154,0.016406794575612515,0.03113879879063881,ONG,0.03113879879063881
Trojan,BBD,-0.02733977764230545,-0.02077562838567777,-0.029639844425642704,ONG,0.029639844425642704
Account Hijacking,AC,-0.011973489478464244,-0.004168677703317442,-0.028123270733342864,ONG,0.028123270733342864
Backdoor,SA,0.0012402141936897204,0.001682837928417937,-0.0274817334487783,ONG,0.0274817334487783
Account Hijacking,AD,-0.012332185308939786,-0.0038003085896381184,-0.026784548154731257,ONG,0.026784548154731257
Account Hijacking,SM,-0.01471826005951927,-0.005160089718134124,-0.026622809428028683,ONG,0.026622809428028683
Zero-day,ML/DL,-0.0024030695978775516,0.0022814085343642785,-0.02607945642665453,ONG,0.02607945642665453
Malware,SHMM,0.02970129107820152,0.015680040575049015,0.024991278041345377,ONG,0.024991278041345377
Account Hijacking,CR,-0.014147904729983951,-0.007011388929803279,-0.024745818911429362,ONG,0.024745818911429362
Supply Chain Attack,NLP/LLM,0.02772217299423364,0.028858548500995663,0.02321341271591563,ONG,0.02321341271591563
Adversarial Attack,RRAM,0.027782426281408756,0.04252927822415323,0.022427651895010864,ONG,0.022427651895010864
Trojan,PT,-0.007930456668821409,-0.003859954844594643,-0.022399563029639403,ONG,0.022399563029639403
Supply Chain Attack,IdM,-0.01746829115192024,-0.013281144420871915,-0.0218561380582389,ONG,0.0218561380582389
Phishing,MA,-0.004141093492702835,0.00046014829726041356,-0.021512041838240115,ONG,0.021512041838240115
Trojan,GT,-0.01521247575512937,-0.012646813365824442,-0.02032970351879391,ONG,0.02032970351879391
Malware,PMT,0.044409666750705075,0.015879878574202987,0.02009116726065784,ONG,0.02009116726065784
APT,NS,0.025369831743304854,0.026073048869353115,0.018338077446619406,ONG,0.018338077446619406
Trojan,AD,-0.0026808885572018604,0.002764160542020259,-0.017387212904204013,ONG,0.017387212904204013
Insider Threat,KD,0.022054943123539106,0.02423091499259598,0.016317787532839283,ONG,0.016317787532839283
Phishing,AC,0.003912913720838638,0.00468847086244135,-0.015616179075932629,ONG,0.015616179075932629
Session Hijacking,SSL/TLS,0.01728648048520055,0.01135264004832153,0.01541054466535686,ONG,0.01541054466535686
Trojan,CR,-0.0044966079782460255,-0.00044691979814490135,-0.015348483660902116,ONG,0.015348483660902116
Insider Threat,AD,0.029718422335793988,0.029750534555782433,0.014211312002958304,ONG,0.014211312002958304
Phishing,DT,-0.006352340421494111,-0.0028386263451744553,-0.01342445539883975,ONG,0.01342445539883975
Phishing,BT,-0.0035051439348097366,0.0012697559521543018,-0.01282491469709023,ONG,0.01282491469709023
Deepfake,NLP/LLM,-0.003600734221793763,0.0007899485196598369,-0.012769782578725167,ONG,0.012769782578725167
Supply Chain Attack,PT,0.011313369640057627,0.014286898663938341,-0.012597001078152842,ONG,0.012597001078152842
Phishing,CR,0.0017384984693189314,0.0018457596359555128,-0.012238727254019125,ONG,0.012238727254019125
APT,RA,0.02444782298263326,0.025239010459200007,0.011686437931708963,ONG,0.011686437931708963
DDoS,TS,0.0008393009316454333,0.001954950644952704,-0.010860350458644271,ONG,0.010860350458644271
Session Hijacking,PT,0.001176873302239025,0.012491775611656764,-0.010262490129337989,ONG,0.010262490129337989
DDoS,RC,0.01156986587845039,0.015585381840228738,0.01008339642006382,ONG,0.01008339642006382
Session Hijacking,CA,-0.0014713291965191462,0.018538142439323575,-0.009715459803234369,ONG,0.009715459803234369
APT,DT,0.014929144296017013,0.018003456321894384,0.009676866279029047,ONG,0.009676866279029047
Supply Chain Attack,AC,0.016921633582152717,0.02054264493687392,-0.008923373531329057,ONG,0.008923373531329057
